GRAV;SD;TEMP;TIDE;TIME;DATE;Hours;gg;Hours;Dario-drift;Dario-drift1;corr- sin;Dario-drift2
5613.175;0.013;-4.32;0.114;10:27:18;06/05/2020;10.46;0;10.46;5613.175;5613.175;-0.00054307;5613.174
5613.073;0.015;-4.23;-0.044;15:11:20;06/05/2020;15.19;0;15.19;5613.193;5613.193;0.008344985;5613.201
5612.547;0.006;-4.23;0.126;12:12:29;07/05/2020;12.21;1;36.21;5613.199;5613.199;0.004921589;5613.203
5612.481;0.007;-4.26;0.016;14:50:46;07/05/2020;14.85;1;38.85;5613.199;5613.199;0.008573334;5613.208
5611.946;0.011;-4.22;0.129;10:52:27;08/05/2020;10.87;2;58.87;5613.171;5613.171;0.003476168;5613.174
5611.878;0.008;-4.25;0.088;14:16:26;08/05/2020;14.27;2;62.27;5613.189;5613.189;0.008621325;5613.198
5579.348;0.007;-4.33;0.101;09:53:54;01/07/2020;9.9;57;1377.9;5579.348;5613.183;-0.002723577;5613.181
5579.241;0.011;-4.38;-0.047;14:19:26;01/07/2020;14.32;57;1382.32;5579.358;5613.193;-0.008888574;5613.184
5576.096;0.01;-4.32;0.128;13:20:06;06/07/2020;13.34;62;1501.34;5579.355;5613.19;-0.007655757;5613.182
5575.951;0.02;-4.22;-0.072;18:35:45;06/07/2020;18.6;62;1506.6;5579.349;5613.184;0.003319508;5613.187
5575.703;0.021;-4.35;-0.083;04:37:34;07/07/2020;4.63;63;1516.63;5579.365;5613.201;0.000542994;5613.201
5575.5;0.028;-4.42;0.106;11:18:58;07/07/2020;11.32;63;1523.32;5579.339;5613.174;-0.008784107;5613.166
;;;;;;;;;;0.01;;0.014
