GRAV;SD;TEMP;TIDE;TIME;DATE;Hours;gg;Hours;Dario-drift;Dario-drift1;corr- sin;Dario-drift2
5638.757;0.027;-4.27;0.056;12:46:24;16/03/2021;12.77;0;12.77;5638.757;5638.757;0.014033595;5638.771
5638.739;0.019;-4.03;-0.034;17:13:41;16/03/2021;17.23;0;17.23;5638.753;5638.753;0.03284191;5638.786
5638.702;0.015;-4.1;-0.065;08:05:07;17/03/2021;8.09;1;32.09;5638.764;5638.764;-0.023602572;5638.74
5638.651;0.013;-3.92;0.021;16:14:20;17/03/2021;16.24;1;40.24;5638.739;5638.739;0.031887107;5638.771
5638.619;0.017;-4.09;-0.068;07:54:57;18/03/2021;7.92;2;55.92;5638.757;5638.757;-0.024998808;5638.732
5638.58;0.011;-4.07;0.013;11:14:06;18/03/2021;11.24;2;59.24;5638.729;5638.729;6.05E-05;5638.729
5638.54;0.018;-4.41;0.061;13:27:15;18/03/2021;13.45;2;61.45;5638.696;5638.696;0.01803736;5638.714
5638.547;0.013;-4.2;-0.059;08:36:02;19/03/2021;8.6;3;80.6;5638.764;5638.764;-0.021287389;5638.743
5638.521;0.014;-4.13;0.026;12:13:35;19/03/2021;12.23;3;84.23;5638.75;5638.75;0.007863835;5638.758
5638.303;0.017;-4.31;-0.032;11:53:29;22/03/2021;11.89;6;155.89;5638.761;5638.761;0.003194991;5638.764
5638.308;0.014;-4.16;0.053;16:42:54;22/03/2021;16.72;6;160.72;5638.781;5638.781;0.032107636;5638.814
5638.256;0.013;-3.91;-0.051;07:47:39;23/03/2021;7.79;7;175.79;5638.778;5638.778;-0.027489416;5638.75
5638.234;0.01;-4.05;0.03;16:44:38;23/03/2021;16.74;7;184.74;5638.784;5638.784;0.032025812;5638.816
5638.17;0.01;-4.08;-0.043;08:01:22;24/03/2021;8.02;8;200.02;5638.769;5638.769;-0.02673366;5638.742
5638.175;0.013;-4.17;-0.045;12:01:16;24/03/2021;12.02;8;204.02;5638.787;5638.787;0.003063108;5638.79
5638.161;0.017;-4.17;0;16:50:24;24/03/2021;16.84;8;208.84;5638.788;5638.788;0.032070386;5638.82
5638.103;0.016;-4.13;-0.037;07:59:12;25/03/2021;7.99;9;223.99;5638.779;5638.779;-0.027264917;5638.752
5638.087;0.01;-4.1;-0.043;12:21:24;25/03/2021;12.36;9;228.36;5638.777;5638.777;0.005299758;5638.782
5638.084;0.01;-4;-0.035;16:57:28;25/03/2021;16.96;9;232.96;5638.789;5638.789;0.032152615;5638.821
5638.034;0.012;-4.18;-0.032;08:02:32;26/03/2021;8.04;10;248.04;5638.787;5638.787;-0.02734617;5638.76
5638.028;0.014;-4;-0.004;11:15:20;26/03/2021;11.26;10;251.26;5638.791;5638.791;-0.004727075;5638.786
5637.723;0.026;-4.32;0.072;11:28:50;29/03/2021;11.48;13;323.48;5638.717;5638.717;-0.004665564;5638.713
5637.667;0.016;-4.16;-0.045;15:53:55;29/03/2021;15.9;13;327.9;5638.675;5638.675;0.027838985;5638.703
5648.336;0.011;-4.2;-0.067;07:44:45;30/03/2021;7.75;14;343.75;5648.336;5638.777;-0.029805471;5638.748
5648.285;0.013;-4.23;0.077;11:17:13;30/03/2021;11.29;14;347.29;5648.302;5638.744;-0.006912463;5638.737
5648.27;0.009;-3.99;-0.027;16:33:39;30/03/2021;16.56;14;352.56;5648.313;5638.755;0.030186109;5638.785
5648.212;0.01;-4.01;-0.086;07:24:28;31/03/2021;7.41;15;367.41;5648.328;5638.769;-0.031114473;5638.738
5648.176;0.007;-4.27;0.049;10:46:59;31/03/2021;10.78;15;370.78;5648.308;5638.75;-0.011649801;5638.738
5648.165;0.008;-3.98;0.058;15:35:32;31/03/2021;15.59;15;375.59;5648.321;5638.763;0.025593027;5638.788
;;;;;;;;;;0.028;;0.033
