GRAV;SD;TEMP;TIDE;TIME;DATE;Hours;gg;Hours;Dario-drift;Dario-drift1;corr- sin;Dario-drift2
5835.17;0.044;-4.44;0.014;10:32:33;22/03/2022;10.54;0;10.54;5835.17;5835.17;-0.010384495;5835.16
5835.138;0.048;-4.54;0.04;11:12:10;22/03/2022;11.2;0;11.2;5835.144;5835.144;-0.005050496;5835.139
5835.125;0.042;-4.61;0.083;12:28:02;22/03/2022;12.47;0;12.47;5835.144;5835.144;0.005449385;5835.149
5835.09;0.046;-4.37;0.102;14:30:19;22/03/2022;14.51;0;14.51;5835.129;5835.129;0.02063445;5835.149
5834.988;0.038;-4.17;-0.079;08:00:00;23/03/2022;8;1;32;5835.198;5835.198;-0.025875981;5835.172
5834.903;0.044;-4.48;0.031;11:41:00;23/03/2022;11.68;1;35.68;5835.149;5835.149;0.000425265;5835.15
5834.839;0.053;-4.37;0.102;15:03:25;23/03/2022;15.06;1;39.06;5835.118;5835.118;0.024840772;5835.143
5476.56;0.039;4.44;0.016;08:14:32;24/03/2022;8.24;2;56.24;5476.56;5835.28;-0.023702935;5835.257
5476.389;0.037;4.49;0.061;11:10:21;24/03/2022;11.17;2;59.17;5476.38;5835.1;-0.00234597;5835.098
5476.336;0.04;4.42;0.082;12:59:17;24/03/2022;12.99;2;60.99;5476.321;5835.042;0.012452161;5835.054
5476.57;0.043;3.98;0.042;07:50:26;25/03/2022;7.84;3;79.84;5476.497;5835.217;-0.024894471;5835.192
5476.47;0.043;4.5;0.008;09:13:57;25/03/2022;9.23;3;81.23;5476.393;5835.113;-0.016231646;5835.097
5937.333;0.047;4.54;0.046;10:37:59;25/03/2022;10.63;3;82.63;5937.333;5835.168;-0.005334605;5835.162
5937.309;0.04;4.5;0.03;11:32:13;25/03/2022;11.54;3;83.54;5937.315;5835.149;0.002178948;5835.151
5937.256;0.035;4.39;0.078;16:05:39;25/03/2022;16.09;3;88.09;5937.29;5835.124;0.030218787;5835.155
5937.207;0.038;4.19;0.054;08:46:44;26/03/2022;8.78;4;104.78;5937.344;5835.179;-0.018157806;5835.161
5937.162;0.04;4.48;0.039;12:12:50;26/03/2022;12.21;4;108.21;5937.321;5835.155;0.009182445;5835.164
5937.143;0.036;4.39;0.05;16:23:54;26/03/2022;16.4;4;112.4;5937.328;5835.162;0.031160253;5835.193
5937.078;0.031;4.17;0.041;08:17:48;27/03/2022;8.3;5;128.3;5937.361;5835.196;-0.020172751;5835.175
5936.925;0.035;4.46;0.042;10:53:01;27/03/2022;10.88;5;130.88;5937.224;5835.059;-0.000293224;5835.058
5936.961;0.035;4.41;0.026;15:09:05;27/03/2022;15.15;5;135.15;5937.287;5835.121;0.028420361;5835.15
5936.914;0.049;4.34;0.034;07:46:49;28/03/2022;7.78;6;151.78;5937.343;5835.177;-0.022261611;5835.155
5936.897;0.055;4.33;0.021;08:37:50;28/03/2022;8.63;6;152.63;5937.331;5835.165;-0.016707033;5835.149
;;;;;;;;;;0.05;;0.043
