GRAV;SD;TEMP;TIDE;TIME;DATE;Hours;gg;Hours;Dario-drift;Dario-drift1;corr- sin;Dario-drift2
6131.54;0.043;-4.58;-0.072;08:31:08;15/02/2023;8.52;0;8.52;6131.54;6131.54;0.02548932;6131.565
6131.429;0.047;-4.83;-0.068;11:44:40;15/02/2023;11.74;0;11.74;6131.426;6131.426;0.070220028;6131.497
6131.445;0.044;-4.56;-0.045;13:23:16;15/02/2023;13.39;0;13.39;6131.441;6131.441;0.076177113;6131.517
6131.496;0.037;-4.5;0.088;17:45:36;15/02/2023;17.76;0;17.76;6131.489;6131.489;0.031071483;6131.52
6131.524;0.076;-4.34;-0.068;08:35:06;16/02/2023;8.59;1;32.59;6131.505;6131.505;0.019392513;6131.524
6131.537;0.06;-4.56;-0.073;13:00:02;16/02/2023;13;1;37;6131.514;6131.514;0.07502254;6131.589
6131.588;0.061;-4.59;0.003;16:19:40;16/02/2023;16.33;1;40.33;6131.563;6131.563;0.059199806;6131.622
6131.628;0.06;-4.43;-0.062;08:45:13;17/02/2023;8.75;2;56.75;6131.589;6131.589;0.015136684;6131.605
6131.547;0.071;-4.57;-0.084;13:24:40;17/02/2023;13.41;2;61.41;6131.505;6131.505;0.075087981;6131.58
6131.604;0.066;-4.64;0.014;13:02:03;21/02/2023;13.03;6;157.03;6131.485;6131.485;0.059666018;6131.545
6131.619;0.036;-4.53;-0.097;18:16:01;21/02/2023;18.27;6;162.27;6131.496;6131.496;0.059410199;6131.555
6131.684;0.051;-4.46;-0.048;09:25:17;22/02/2023;9.42;7;177.42;6131.549;6131.549;-0.010024131;6131.539
6131.665;0.059;-4.62;0.039;13:13:18;22/02/2023;13.22;7;181.22;6131.527;6131.527;0.05709739;6131.584
6131.595;0.058;-4.56;-0.015;15:37:30;22/02/2023;15.63;7;183.63;6131.455;6131.455;0.075782895;6131.531
;;;;;;;;;;0.046;;0.037
