GRAV;SD;TEMP;TIDE;TIME;DATE;Hours;gg;Hours;Dario-drift;Dario-drift1;corr- sin;Dario-drift2
4957.558;0.03;-4.65;0.064;15:05:07;07/12/2023;15.09;0;15.09;4957.558;4957.558;4.864450717;4962.422
4957.599;0.008;-4.64;0.047;04:57:11;08/12/2023;4.95;1;28.95;4957.574;4957.574;-3.318166608;4954.256
4957.542;0.009;-4.48;0;13:36:28;08/12/2023;13.61;1;37.61;4957.501;4957.501;5.295672218;4962.797
4957.533;0.008;-4.67;-0.03;05:04:44;09/12/2023;5.08;2;53.08;4957.465;4957.465;-3.194416667;4954.27
4957.501;0.01;-4.46;-0.014;13:45:39;09/12/2023;13.76;2;61.76;4957.417;4957.417;5.288832763;4962.706
4957.674;0.008;-4.64;-0.01;04:56:13;11/12/2023;4.94;4;100.94;4957.519;4957.519;-3.376073029;4954.143
4957.623;0.019;-4.46;-0.062;13:52:38;11/12/2023;13.88;4;109.88;4957.452;4957.452;5.280567566;4962.733
4957.729;0.005;-4.7;-0.037;05:02:00;12/12/2023;5.03;5;125.03;4957.531;4957.531;-3.285798067;4954.245
4957.683;0.009;-4.48;-0.092;13:30:36;12/12/2023;13.51;5;133.51;4957.47;4957.47;5.295134905;4962.765
4957.764;0.007;-4.7;-0.042;05:41:57;13/12/2023;5.7;6;149.7;4957.522;4957.522;-2.53134527;4954.99
4957.776;0.009;-4.5;-0.099;13:28:49;13/12/2023;13.48;6;157.48;4957.52;4957.52;5.29351971;4962.813
4957.841;0.015;-4.7;0.007;09:31:13;14/12/2023;9.52;7;177.52;4957.549;4957.549;2.531050606;4960.08
4957.78;0.019;-4.46;-0.087;13:16:06;14/12/2023;13.27;7;181.27;4957.481;4957.481;5.274099483;4962.755
4959.096;0.018;-4.52;-0.065;05:01:59;27/01/2024;5.03;51;1229.03;4959.096;4957.634;-3.875983706;4953.758
4959.019;0.023;-4.42;-0.046;13:06:07;27/01/2024;13.1;51;1237.1;4959.013;4957.55;5.089487793;4962.64
4959.072;0.014;-4.65;-0.07;05:00:42;28/01/2024;5.01;52;1253.01;4959.053;4957.591;-3.907933118;4953.683
4958.966;0.022;-4.43;-0.032;13:30:28;28/01/2024;13.51;52;1261.51;4958.94;4957.478;5.213146033;4962.691
4959.016;0.016;-4.37;-0.059;05:38:56;29/01/2024;5.65;53;1277.65;4958.977;4957.515;-3.274167571;4954.241
4958.958;0.015;-4.49;-0.008;13:39:57;29/01/2024;13.67;53;1285.67;4958.913;4957.451;5.244966727;4962.695
4959.004;0.009;-4.58;-0.066;05:04:37;30/01/2024;5.08;54;1301.08;4958.946;4957.484;-3.870231928;4953.614
4958.967;0.009;-4.43;0.03;13:19:16;30/01/2024;13.32;54;1309.32;4958.903;4957.441;5.153301755;4962.594
4959.027;0.011;-4.64;-0.06;05:05:48;31/01/2024;5.1;55;1325.1;4958.95;4957.488;-3.863488251;4953.624
4958.958;0.01;-4.47;0.034;14:14:06;31/01/2024;14.24;55;1334.24;4958.874;4957.412;5.2963957;4962.708
4959.039;0.014;-4.66;-0.055;05:50:33;01/02/2024;5.84;56;1349.84;4958.942;4957.48;-3.101767356;4954.378
4958.992;0.018;-4.43;0.062;14:05:36;01/02/2024;14.09;56;1358.09;4958.889;4957.427;5.292687424;4962.719
4959.109;0.025;-4.63;-0.032;05:13:54;03/02/2024;5.23;58;1397.23;4958.974;4957.512;-3.770109257;4953.742
4959.078;0.046;-4.39;0.075;13:29:26;03/02/2024;13.49;58;1405.49;4958.937;4957.475;5.188887144;4962.664
4959.134;0.016;-4.53;-0.021;05:11:54;04/02/2024;5.2;59;1421.2;4958.98;4957.518;-3.814547783;4953.704
4959.091;0.046;-4.48;0.006;11:41:41;04/02/2024;11.69;59;1427.69;4958.932;4957.47;4.134792843;4961.605
4959.159;0.019;-4.6;-0.012;05:15:03;05/02/2024;5.25;60;1445.25;4958.986;4957.524;-3.775979998;4953.748
4959.118;0.032;-4.42;0.008;12:57:02;05/02/2024;12.95;60;1452.95;4958.939;4957.477;4.975780185;4962.452
4959.192;0.022;-4.65;-0.009;05:06:55;06/02/2024;5.12;61;1469.12;4959;4957.538;-3.917088774;4953.621
4959.126;0.043;-4.47;-0.062;10:54:33;06/02/2024;10.91;61;1474.91;4958.929;4957.467;3.345172259;4960.812
4959.254;0.012;-4.6;-0.032;04:55:43;08/02/2024;4.93;63;1516.93;4959.024;4957.562;-4.108600824;4953.453
4959.22;0.028;-4.45;-0.092;12:14:15;08/02/2024;12.24;63;1524.24;4958.984;4957.522;4.525778816;4962.047
4959.303;0.01;-4.62;-0.04;05:09:10;09/02/2024;5.15;64;1541.15;4959.053;4957.591;-3.917372514;4953.674
5003.266;0.012;-4.44;-0.005;05:56:03;09/02/2024;5.93;64;1541.93;5003.266;4957.347;-3.112030987;4954.235
5003.234;0.015;-4.45;-0.104;13:14:02;09/02/2024;13.23;64;1549.23;5003.238;4957.32;5.077084299;4962.397
5003.304;0.008;-4.61;-0.06;05:07:57;10/02/2024;5.13;65;1565.13;5003.318;4957.399;-3.947894063;4953.451
5003.251;0.028;-4.48;-0.029;11:57:20;10/02/2024;11.96;65;1571.96;5003.269;4957.35;4.290294024;4961.641
5003.415;0.019;-4.56;-0.083;05:19:12;13/02/2024;5.32;68;1637.32;5003.472;4957.554;-3.806602989;4953.747
5003.388;0.022;-4.53;0.098;12:22:14;13/02/2024;12.37;68;1644.37;5003.449;4957.531;4.57544352;4962.106
5003.461;0.017;-4.65;-0.077;05:13:05;14/02/2024;5.22;69;1661.22;5003.533;4957.614;-3.915253828;4953.699
5003.442;0.018;-4.39;0.041;08:53:12;14/02/2024;8.89;69;1664.89;5003.516;4957.597;0.676167676;4958.273
5003.475;0.012;-4.67;-0.061;06:20:59;15/02/2024;6.35;70;1686.35;5003.562;4957.643;-2.719010788;4954.924
5003.452;0.01;-4.46;0.113;13:03:23;15/02/2024;13.06;70;1693.06;5003.543;4957.624;4.966127576;4962.59
5003.482;0.015;-4.67;-0.046;05:08:16;16/02/2024;5.14;71;1709.14;5003.582;4957.664;-4.012197689;4953.652
5003.453;0.016;-4.51;0.077;11:57:19;16/02/2024;11.96;71;1715.96;5003.557;4957.639;4.227783776;4961.867
5003.456;0.009;-4.62;-0.03;05:17:09;17/02/2024;5.29;72;1733.29;5003.571;4957.652;-3.88715864;4953.765
5003.404;0.009;-4.49;0.035;11:50:04;17/02/2024;11.83;72;1739.83;5003.523;4957.604;4.113841807;4961.718
5003.342;0.021;-4.63;-0.008;05:01:59;19/02/2024;5.03;74;1781.03;5003.485;4957.567;-4.138321109;4953.429
5003.288;0.041;-4.51;-0.029;12:08:54;19/02/2024;12.15;74;1788.15;5003.436;4957.517;4.353860046;4961.871
5003.272;0.017;-4.65;0;05:22:46;20/02/2024;5.38;75;1805.38;5003.43;4957.511;-3.834213357;4953.677
5003.207;0.023;-4.47;-0.055;11:51:21;20/02/2024;11.86;75;1811.86;5003.369;4957.45;4.099475267;4961.55
5003.235;0.018;-4.65;-0.002;05:10:52;21/02/2024;5.18;76;1829.18;5003.407;4957.489;-4.029943135;4953.459
5003.176;0.021;-4.46;-0.068;12:19:58;21/02/2024;12.33;76;1836.33;5003.353;4957.434;4.475711623;4961.91
5003.188;0.01;-4.6;-0.005;05:12:39;22/02/2024;5.21;77;1853.21;5003.375;4957.456;-4.014506336;4953.442
5003.153;0.02;-4.47;-0.051;11:31:17;22/02/2024;11.52;77;1859.52;5003.344;4957.425;3.766212138;4961.191
5003.171;0.009;-4.64;-0.012;05:12:25;23/02/2024;5.21;78;1877.21;5003.372;4957.454;-4.029376051;4953.424
5003.125;0.017;-4.47;-0.037;11:36:23;23/02/2024;11.61;78;1883.61;5003.33;4957.411;3.836078195;4961.247
5003.159;0.009;-4.49;-0.018;05:15:58;24/02/2024;5.27;79;1901.27;5003.375;4957.456;-3.987194686;4953.469
5003.096;0.013;-4.51;0.04;10:19:17;24/02/2024;10.32;79;1906.32;5003.315;4957.396;2.400816728;4959.797
5003.151;0.028;-4.63;-0.037;05:18:32;26/02/2024;5.31;81;1949.31;5003.395;4957.477;-3.971120102;4953.506
5003.215;0.049;-4.54;0.018;12:13:35;26/02/2024;12.23;81;1956.23;5003.464;4957.545;4.345831385;4961.891
5016.388;0.009;-4.54;-0.02;05:57:54;27/02/2024;5.97;82;1973.97;5016.388;4957.434;-3.32762985;4954.106
5016.351;0.009;-4.53;0.067;11:43:01;27/02/2024;11.72;82;1979.72;5016.352;4957.398;3.893078162;4961.291
5016.388;0.009;-4.67;-0.054;05:18:10;28/02/2024;5.3;83;1997.3;5016.393;4957.439;-3.999701999;4953.439
5016.355;0.014;-4.55;0.061;12:32:21;28/02/2024;12.54;83;2004.54;5016.361;4957.407;4.561130795;4961.968
5016.392;0.011;-4.69;-0.057;05:23:00;29/02/2024;5.38;84;2021.38;5016.401;4957.447;-3.937338223;4953.51
5016.34;0.026;-4.51;0.095;11:58:54;29/02/2024;11.98;84;2027.98;5016.351;4957.397;4.110352777;4961.507
5016.371;0.035;-4.62;-0.058;05:21:14;01/03/2024;5.35;85;2045.35;5016.385;4957.431;-3.976073173;4953.455
5016.358;0.033;-4.53;0.101;11:52:44;01/03/2024;11.88;85;2051.88;5016.374;4957.42;4.0076528;4961.427
5016.41;0.024;-4.68;-0.054;05:19:15;02/03/2024;5.32;86;2069.32;5016.429;4957.475;-4.017589696;4953.457
5016.347;0.016;-4.47;0.084;11:14:46;02/03/2024;11.25;86;2075.25;5016.367;4957.413;3.368658184;4960.782
5016.416;0.01;-4.67;-0.03;05:20:08;04/03/2024;5.34;88;2117.34;5016.445;4957.491;-4.027039128;4953.464
5016.513;0.013;-4.51;0.039;12:02:20;04/03/2024;12.04;88;2124.04;5016.543;4957.589;4.116304017;4961.705
5016.571;0.02;-4.66;0.004;05:19:02;06/03/2024;5.32;90;2165.32;5016.609;4957.655;-4.065966908;4953.589
5016.563;0.02;-4.56;-0.042;12:04:16;06/03/2024;12.07;90;2172.07;5016.603;4957.649;4.122418623;4961.771
5016.576;0.009;-4.68;0.019;05:21:47;07/03/2024;5.36;91;2189.36;5016.619;4957.665;-4.036300008;4953.629
5016.559;0.018;-4.54;-0.049;10:22:51;07/03/2024;10.38;91;2194.38;5016.603;4957.649;2.286767814;4959.936
5016.612;0.008;-4.64;0.017;05:12:18;08/03/2024;5.21;92;2213.21;5016.66;4957.706;-4.185360443;4953.52
5016.564;0.018;-4.43;-0.091;12:27:19;08/03/2024;12.46;92;2220.46;5016.613;4957.659;4.416125515;4962.075
5016.575;0.016;-4.66;0.099;07:15:25;11/03/2024;7.26;95;2287.26;5016.638;4957.684;-1.984953965;4955.699
5016.479;0.017;-4.64;0.098;11:00:51;11/03/2024;11.01;95;2291.01;5016.542;4957.588;2.98607965;4960.574
5016.489;0.031;-4.65;0.02;06:26:01;12/03/2024;6.43;96;2310.43;5016.556;4957.602;-3.003177505;4954.599
5016.517;0.029;-4.63;0.162;10:10:35;12/03/2024;10.18;96;2314.18;5016.585;4957.631;1.947117859;4959.578
5016.332;0.009;-4.68;-0.013;04:30:29;18/03/2024;4.51;102;2452.51;5016.428;4957.474;-4.782234737;4952.691
5016.319;0.014;-4.5;0.024;12:20:12;18/03/2024;12.34;102;2460.34;5016.416;4957.462;4.220045991;4961.682
5016.297;0.01;-4.66;0.001;04:42:22;19/03/2024;4.71;103;2476.71;5016.398;4957.443;-4.666180455;4952.777
5016.229;0.015;-4.61;0.018;13:28:59;19/03/2024;13.48;103;2485.48;5016.331;4957.377;4.971320371;4962.349
5016.242;0.007;-4.55;0.013;04:51:46;20/03/2024;4.86;104;2500.86;5016.347;4957.393;-4.568430007;4952.825
5016.187;0.02;-4.63;-0.016;13:27:45;20/03/2024;13.46;104;2509.46;5016.294;4957.34;4.95528239;4962.295
5016.157;0.009;-4.69;0.005;04:23:47;21/03/2024;4.4;105;2524.4;5016.267;4957.313;-4.867589135;4952.445
5032.058;0.011;-4.55;0.018;04:48:43;21/03/2024;4.81;105;2524.81;5032.058;4957.465;-4.612279679;4952.852
5032.146;0.012;-4.61;-0.04;11:03:03;21/03/2024;11.05;105;2531.05;5032.147;4957.554;2.883004777;4960.437
5032.138;0.01;-4.66;0.016;04:45:17;22/03/2024;4.75;106;2548.75;5032.143;4957.549;-4.659076146;4952.89
5032.044;0.014;-4.65;-0.06;13:52:26;22/03/2024;13.87;106;2557.87;5032.051;4957.457;5.118655192;4962.576
5032.097;0.008;-4.65;0.002;04:32:11;23/03/2024;4.54;107;2572.54;5032.107;4957.513;-4.802691436;4952.71
5032.065;0.019;-4.61;-0.062;12:25:30;23/03/2024;12.43;107;2580.43;5032.076;4957.483;4.241162741;4961.724
5032.059;0.007;-4.69;-0.01;04:43:00;25/03/2024;4.72;109;2620.72;5032.078;4957.485;-4.708154961;4952.777
5032.104;0.027;-4.63;0.002;11:53:17;25/03/2024;11.89;109;2627.89;5032.125;4957.531;3.730398055;4961.262
;;;;;;;;;;0.088;;4.147
